District,Tehsil,Village,Village Code,Google Drive Link,update time and date 
Ambala,Ambala,Naneola,101001,,
Ambala,Ambala,Batrohan,101002,,
Ambala,Ambala,Mastpur,101003,,
Ambala,Ambala,Jandheri,101004,,
Ambala,Ambala,Chhappra,101005,,
Ambala,Ambala,Khaira,101006,,
Ambala,Ambala,Naggal,101007,,
Ambala,Ambala,Baknaur,101008,,
Ambala,Ambala,Ismailpur,101009,,
Ambala,Ambala,Jansui,101010,,
Ambala,Ambala,NIHARSI,101011,,
Ambala,Ambala,Sounta,101012,,
Ambala,Ambala,Bhunni,101013,,
Ambala,Ambala,Patti Mehar,101014,,
Ambala,Ambala,Patti Jattan,101015,,
Ambala,Ambala,Sonda,101016,,
Ambala,Ambala,Ghel,101017,,
Ambala,Ambala,Manakpur,101018,,
Ambala,Ambala,Kanwala,101019,,
Ambala,Ambala,Anandpur Jalbera,101020,,
Ambala,Ambala,Ballana,101021,,
Ambala,Ambala,Sullar,101022,,
Ambala,Ambala,Materi shekhan,101023,,
Ambala,Ambala,Barauli,101024,,
Ambala,Ambala,Konkpur,101025,,
Ambala,Ambala,Durana,101026,,
Ambala,Ambala,Mohri,101027,,
Ambala,Ambala,Bhanokheri,101028,,
Ambala,Ambala,Dehlo Majra,101029,,
Ambala,Ambala,Khurchanpur,101030,,
Ambala,Ambala,Lautan,101031,,
Ambala,Ambala,Udaipur,101032,,
Ambala,Ambala,Rasulpur,101033,,
Ambala,Ambala,Nakatpur,101034,,
Ambala,Ambala,Banhpur,101035,,
Ambala,Ambala,Daudpur,101036,,
Ambala,Ambala,Panjola,101037,,
Ambala,Ambala,Amipur,101038,,
Ambala,Ambala,Mujfra,101039,,
Ambala,Ambala,Kalawar,101040,,
Ambala,Ambala,Danipur,101041,,
Ambala,Ambala,Kangwal,101042,,
Ambala,Ambala,Roshanpur,101043,,
Ambala,Ambala,Jeitpura,101044,,
Ambala,Ambala,Sakhraow,101045,,
Ambala,Ambala,Hasanpur,101046,,
Ambala,Ambala,Adu Majra,101047,,
Ambala,Ambala,Mehmoodpur,101048,,
Ambala,Ambala,Bamba,101049,,
Ambala,Ambala,Miyan Majra,101050,,
Ambala,Ambala,Chugna,101051,,
Ambala,Ambala,Alludin Majra,101052,,
Ambala,Ambala,Niharsa,101053,,
Ambala,Ambala,Munda majra,101054,,
Ambala,Ambala,Mallaur,101055,,
Ambala,Ambala,biranga,101056,,
Ambala,Ambala,Dangeria,101057,,
Ambala,Ambala,Ghagaru,101058,,
Ambala,Ambala,Bhurangpur,101059,,
Ambala,Ambala,Bishangarh,101060,,
Ambala,Ambala,Segta,101061,,
Ambala,Ambala,Segti,101062,,
Ambala,Ambala,Khanna Majra,101063,,
Ambala,Ambala,Metlan,101064,,
Ambala,Ambala,Jagoli,101065,,
Ambala,Ambala,Shekhupur,101066,,
Ambala,Ambala,Jansua,101067,,
Ambala,Ambala,Gorsian,101068,,
Ambala,Ambala,Mehlan,101069,,
Ambala,Ambala,Sounti,101070,,
Ambala,Ambala,Dhurala,101071,,
Ambala,Ambala,Singhawala,101072,,
Ambala,Ambala,Rupo Majra,101073,,
Ambala,Ambala,Sarangpur,101074,,
Ambala,Ambala,Sultanpur,101075,,
Ambala,Ambala,Ambala Cantt,101076,,
Ambala,Ambala,Dhulkot,101077,,
Ambala,Ambala,Patti Rangra,101078,,
Ambala,Ambala,Patti Kalala,101079,,
Ambala,Ambala,Patti Acharja,101080,,
Ambala,Ambala,Nasirpur,101081,,
Ambala,Ambala,Dhurkhra,101082,,
Ambala,Ambala,Devinagar,101083,,
Ambala,Ambala,Nizampur,101084,,
Ambala,Ambala,Liharsa,101085,,
Ambala,Ambala,Kalu Majra,101086,,
Ambala,Ambala,Saddopur,101087,,
Ambala,Ambala,Dangdheri,101088,,
Ambala,Ambala,Dudiana,101089,,
Ambala,Ambala,Kakru,101090,,
Ambala,Ambala,Kawali,101091,,
Ambala,Ambala,Srai Mahdood,101092,,
Ambala,Ambala,Methheri Jattan,101093,,
Ambala,Ambala,Ugara,101094,,
Ambala,Ambala,Ladana,101095,,
Ambala,Ambala,Ahma,101096,,
Ambala,Ambala,Bhari,101097,,
Ambala,Ambala,Manka,101098,,
Ambala,Ambala,Kurbanpur,101099,,
Ambala,Ambala,Humaiupur,101100,,
Ambala,Ambala,Govind Garh,101101,,
Ambala,Ambala,Khaspur,101102,,
Ambala,Ambala,Bedsan,101103,,
Ambala,Ambala,Kaleran,101104,,
Ambala,Ambala,Jalalpur,101105,,
Ambala,Ambala,Malwa,101106,,
Ambala,Ambala,Noorpur,101107,,
Ambala,Ambala,Baroula,101108,,
Ambala,Ambala,Mansoorpur,101109,,
Ambala,Ambala,Kalalmajra,101110,,
Ambala,Ambala,Tejan,101111,,
Ambala,Ambala,Behbalpur,101112,,
Ambala,Ambala,Beggo Majra,101113,,
Ambala,Ambala,Yakubpur,101114,,
Ambala,Ambala,Lakhnour Sahib,101115,,
Ambala,Ambala,Bichpadi,101116,,
Ambala,Ambala,Mardon,101117,,
Ambala,Ambala,Laliana,101118,,
Ambala,Ambala,Rawlan,101119,,
Ambala,Ambala,Landiali,101120,,
Ambala,Barara,Dhin,101121,,
Ambala,Barara,Holi,101122,,
Ambala,Barara,Adhoya Hindwan,101123,,
Ambala,Barara,AdhoyaMuslmana,101124,,
Ambala,Barara,Talheri Rangran,101125,,
Ambala,Barara,Tandwal,101126,,
Ambala,Barara,Kambasi,101127,,
Ambala,Barara,Rajauli,101128,,
Ambala,Barara,Sohana,101129,,
Ambala,Barara,Dera Salempur,101130,,
Ambala,Barara,Manka Manki,101131,,
Ambala,Barara,Thambar,101132,,
Ambala,Barara,Sohata,101133,,
Ambala,Barara,Ugala,101134,,
Ambala,Barara,Barara,101135,,
Ambala,Barara,Ponti,101136,,
Ambala,Barara,Rukri,101137,,
Ambala,Barara,Sarakpur,101138,,
Ambala,Barara,Ganganpur,101139,,
Ambala,Barara,Maujgarh,101140,,
Ambala,Barara,Seemla,101141,,
Ambala,Barara,Tolanwali,101142,,
Ambala,Barara,Dahiya Majra,101143,,
Ambala,Barara,Manu Majra,101144,,
Ambala,Barara,Alawalpur,101145,,
Ambala,Barara,Phoksa,101146,,
Ambala,Barara,Akalgarh,101147,,
Ambala,Barara,Kambas,101148,,
Ambala,Barara,Tandwali,101149,,
Ambala,Barara,Ghelari,101150,,
Ambala,Barara,Subhri,101151,,
Ambala,Barara,Adhoi,101152,,
Ambala,Barara,Rajo Kheri,101153,,
Ambala,Barara,Sajjan Majri,101154,,
Ambala,Barara,Dadupur,101155,,
Ambala,Barara,Chahal Majra,101156,,
Ambala,Barara,Bhudian,101157,,
Ambala,Barara,Nahra,101158,,
Ambala,Barara,Milak Shekhan,101159,,
Ambala,Barara,Siwan Majra,101160,,
Ambala,Barara,Bekonpur,101161,,
Ambala,Barara,Milk Dhankotan,101162,,
Ambala,Barara,Khan Ahmadpur,101163,,
Ambala,Barara,Malakpur,101164,,
Ambala,Barara,Khanpura,101165,,
Ambala,Barara,Rao Majra,101166,,
Ambala,Barara,Kaserla Khurd,101167,,
Ambala,Barara,Kaserla Kalan,101168,,
Ambala,Barara,Abdulagarh,101169,,
Ambala,Barara,Jalubi,101170,,
Ambala,Naraingarh,Banaundi,101171,,
Ambala,Naraingarh,Baribasi,101172,,
Ambala,Naraingarh,Kala majri,101173,,
Ambala,Naraingarh,Kurali,101174,,
Ambala,Naraingarh,Bharari kalan,101175,,
Ambala,Naraingarh,Badhauli,101176,,
Ambala,Naraingarh,Naraingarh,101177,,
Ambala,Naraingarh,Bari Rasour,101178,,
Ambala,Naraingarh,Hussaini,101179,,
Ambala,Naraingarh,Laha,101180,,
Ambala,Naraingarh,Kathe majra,101181,,
Ambala,Naraingarh,Rattour,101182,,
Ambala,Naraingarh,Gadauli,101183,,
Ambala,Naraingarh,Baragaon,101184,,
Ambala,Naraingarh,Panjlass,101185,,
Ambala,Naraingarh,Nagla,101186,,
Ambala,Naraingarh,Lakhnora,101187,,
Ambala,Naraingarh,Jayauli,101188,,
Ambala,Naraingarh,Nachhrouli,101189,,
Ambala,Naraingarh,Ambli,101190,,
Ambala,Naraingarh,Ber kheri,101191,,
Ambala,Naraingarh,HAMIDPUR,101192,,
Ambala,Naraingarh,Boron,101193,,
Ambala,Naraingarh,Sadakpur,101194,,
Ambala,Naraingarh,Bharapur,101195,,
Ambala,Naraingarh,Tandwal,101196,,
Ambala,Naraingarh,Baragarh,101197,,
Ambala,Naraingarh,Chhoti Bassi,101198,,
Ambala,Naraingarh,Chhotagarh,101199,,
Ambala,Naraingarh,Manglore,101200,,
Ambala,Naraingarh,Bilashpur,101201,,
Ambala,Naraingarh,Akbarpur,101202,,
Ambala,Naraingarh,Bibipur,101203,,
Ambala,Naraingarh,Chattan,101204,,
Ambala,Naraingarh,Kanjala,101205,,
Ambala,Naraingarh,BurjShahid,101206,,
Ambala,Naraingarh,Taharpur,101207,,
Ambala,Naraingarh,Bharari Khurd,101208,,
Ambala,Naraingarh,Naik Nawa,101209,,
Ambala,Naraingarh,Bakhtua,101210,,
Ambala,Naraingarh,Salola,101211,,
Ambala,Naraingarh,Nogaonwa,101212,,
Ambala,Naraingarh,Milak,101213,,
Ambala,Naraingarh,Barouli,101214,,
Ambala,Naraingarh,Mirpur,101215,,
Ambala,Naraingarh,Ballopur,101216,,
Ambala,Naraingarh,Raipur viran,101217,,
Ambala,Naraingarh,Nanhera,101218,,
Ambala,Naraingarh,Chhoti Rasoru,101219,,
Ambala,Naraingarh,Shahpur,101220,,
Ambala,Naraingarh,Rao Majra,101221,,
Ambala,Naraingarh,Nabipur,101222,,
Ambala,Naraingarh,Manakpur,101223,,
Ambala,Naraingarh,Batoura,101224,,
Ambala,Naraingarh,Dhanoura,101225,,
Ambala,Naraingarh,Rampur,101226,,
Ambala,Naraingarh,Dhudhali,101227,,
Ambala,Naraingarh,Kularpur,101228,,
Ambala,Naraingarh,Jagatpur,101229,,
Ambala,Naraingarh,Wasalpur,101230,,
Ambala,Naraingarh,Chhoti kori,101231,,
Ambala,Naraingarh,Nagoli,101232,,
Ambala,Naraingarh,Pulewala,101233,,
Ambala,Naraingarh,Sambhalwa,101234,,
Ambala,Naraingarh,Rareviran,101235,,
Ambala,Naraingarh,Jangu majra,101236,,
Ambala,Naraingarh,Minpur,101237,,
Ambala,Naraingarh,Toka,101238,,
Ambala,Naraingarh,Checha Majra,101239,,
Ambala,Naraingarh,Firozpur,101240,,
Ambala,Naraingarh,Uggal Majri,101241,,
Ambala,Naraingarh,Muggal Majra,101242,,
Ambala,Naraingarh,Fatehpur,101243,,
Ambala,Naraingarh,Khanpur Rajputan,101244,,
Ambala,Naraingarh,Bari kohri,101245,,
Ambala,Naraingarh,Jangu Majra,101246,,
